,Straight way,Strassen,Winograd
20,-0.00461125373840332,-0.017420291900634766,-0.006235837936401367
40,-0.034838199615478516,-0.13012266159057617,-0.046538591384887695
60,-0.12256646156311035,-0.10102653503417969,-0.12301182746887207
80,-0.23110222816467285,-0.7063827514648438,-0.29330968856811523
100,-0.45391416549682617,-1.0586988925933838,-0.6694614887237549
120,-0.7886562347412109,-0.682957649230957,-0.9410922527313232
140,-1.2030291557312012,-4.765117406845093,-1.4648430347442627
160,-1.76389741897583,-4.814029693603516,-2.245051145553589
180,-2.578991174697876,-5.118337392807007,-3.267341136932373
200,-3.5284290313720703,-5.0671546459198,-4.352720022201538
220,-4.728862762451172,-4.856132984161377,-5.872316122055054
240,-6.199561834335327,-5.135636329650879,-7.8922059535980225
260,-7.8928632736206055,-35.50357174873352,-9.841874599456787
280,-10.201961994171143,-35.36011552810669,-12.538065671920776
300,-12.905277490615845,-36.505306005477905,-15.249068260192871
320,-15.847829818725586,-35.42060875892639,-20.04894256591797
340,-18.775898218154907,-35.38761591911316,-22.60570979118347
360,-22.01356554031372,-35.00382661819458,-27.7562198638916
380,-25.724021673202515,-35.15811324119568,-31.590457677841187
400,-30.31634020805359,-35.16093826293945,-36.410234689712524
420,-35.262760400772095,-36.11655640602112,-43.59093475341797
440,-40.18687677383423,-35.98579668998718,-50.36155843734741
460,-46.86422038078308,-35.649813652038574,-55.88399052619934
480,-52.25100541114807,-35.84070014953613,-65.89896583557129
500,-62.79515266418457,-35.59508442878723,-74.34885573387146
520,-66.71459007263184,-251.04939222335815,-82.85270428657532
540,-75.65715169906616,-249.8533947467804,-90.83112788200378
560,-84.06071352958679,-251.7119846343994,-102.45208287239075
580,-94.51360535621643,-248.44716477394104,-114.38488554954529
600,-103.17316484451294,-248.59632921218872,-127.34449696540833
620,-114.96370315551758,-249.49053239822388,-141.01414155960083
640,-127.28522300720215,-249.7364957332611,-156.045428276062
660,-136.592059135437,-246.113436460495,-169.67637729644775
680,-152.10592794418335,-247.87478852272034,-188.8538534641266
700,-165.9570016860962,-248.77187252044678,-205.2499897480011
720,-178.58444094657898,-250.26881170272827,-222.1893150806427
740,-195.84410619735718,-248.12413716316223,-241.70997142791748
760,-213.88033628463745,-252.20661902427673,-260.1436655521393
780,-225.76193284988403,-246.63890671730042,-283.2849431037903
800,-245.64667749404907,-247.40938782691956,-305.4262351989746
820,-260.87898302078247,-248.56265997886658,-329.6492247581482
840,-286.69973969459534,-250.99674344062805,-354.0366976261139
860,-305.47249007225037,-247.58082747459412,-381.15437388420105
880,-327.6105101108551,-248.61003756523132,-403.5643608570099
900,-352.5297226905823,-245.46625876426697,-434.880713224411
920,-370.09957671165466,-248.7640678882599,-465.5837609767914
940,-399.84851145744324,-246.5606973171234,-499.53996181488037
960,-433.947256565094,-250.3974609375,-536.3430981636047
980,-458.4943194389343,-248.43945932388306,-566.5983698368073
